Números (largos)
123456789012345;123456789012345
987654321098765;987654321098765
135791357913579;135791357913579
246802468024680;246802468024680
314159265358979;314159265358979
271828182845904;271828182845904
161803398874989;161803398874989
999999999999999;999999999999999
100000000000001;100000000000001
202505141234567;202505141234567
555555555555555;555555555555555
123123123123123;123123123123123
321321321321321;321321321321321
147258369147258;147258369147258
258369147258369;258369147258369
369147258369147;369147258369147
111111111111111;111111111111111
222222222222222;222222222222222
333333333333333;333333333333333
444444444444444;444444444444444
777777777777777;777777777777777
888888888888888;888888888888888
999000999000999;999000999000999
123456789876543;123456789876543
147147147147147;147147147147147
